year,inflow,outflow,net_change_gw,start_350,start_190,start_550
2000,12.8,18.2,-5.4,344.6,184.6,544.6
2001,12.75,18.376,-5.626,338.974,178.974,538.974
2002,12.7,18.552,-5.852,333.122,173.122,533.122
2003,12.65,18.728,-6.078,327.044,167.044,527.044
2004,12.6,18.904,-6.304,320.74,160.74,520.74
2005,12.55,19.08,-6.53,314.21,154.21,514.21
2006,12.5,19.256,-6.756,307.454,147.454,507.454
2007,12.45,19.432,-6.982,300.472,140.472,500.472
2008,12.4,19.608,-7.208,293.264,133.264,493.264
2009,12.35,19.784,-7.434,285.83,125.83,485.83
2010,12.3,19.96,-7.66,278.17,118.17,478.17
2011,12.25,20.136,-7.886,270.284,110.284,470.284
2012,12.2,20.312,-8.112,262.172,102.172,462.172
2013,12.15,20.488,-8.338,253.834,93.834,453.834
2014,12.1,20.664,-8.564,245.27,85.27,445.27
2015,12.05,20.84,-8.79,236.48,76.48,436.48
2016,12,21.016,-9.016,227.464,67.464,427.464
2017,11.95,21.192,-9.242,218.222,58.222,418.222
2018,11.9,21.368,-9.468,208.754,48.754,408.754
2019,11.85,21.544,-9.694,199.06,39.06,399.06
2020,11.8,21.72,-9.92,189.14,29.14,389.14
2021,11.75,21.896,-10.146,178.994,18.994,378.994
2022,11.7,22.072,-10.372,168.622,8.622,368.622
2023,11.65,22.248,-10.598,158.024,-1.976,358.024
2024,11.6,22.424,-10.824,147.2,-12.8,347.2
2025,11.55,22.6,-11.05,136.15,-23.85,336.15
2026,11.5,22.776,-11.276,124.874,-35.126,324.874
2027,11.45,22.952,-11.502,113.372,-46.628,313.372
2028,11.4,23.128,-11.728,101.644,-58.356,301.644
2029,11.35,23.304,-11.954,89.69,-70.31,289.69
2030,11.3,23.48,-12.18,77.51,-82.49,277.51
2031,11.25,23.656,-12.406,65.104,-94.896,265.104
2032,11.2,23.832,-12.632,52.472,-107.528,252.472
2033,11.15,24.008,-12.858,39.614,-120.386,239.614
2034,11.1,24.184,-13.084,26.53,-133.47,226.53
2035,11.05,24.36,-13.31,13.22,-146.78,213.22
2036,11,24.536,-13.536,-0.316,-160.316,199.684
2037,10.95,24.712,-13.762,-14.078,-174.078,185.922
2038,10.9,24.888,-13.988,-28.066,-188.066,171.934
2039,10.85,25.064,-14.214,-42.28,-202.28,157.72
2040,10.8,25.24,-14.44,-56.72,-216.72,143.28
2041,10.75,25.416,-14.666,-71.386,-231.386,128.614
2042,10.7,25.592,-14.892,-86.278,-246.278,113.722
2043,10.65,25.768,-15.118,-101.396,-261.396,98.604
2044,10.6,25.944,-15.344,-116.74,-276.74,83.26
2045,10.55,26.12,-15.57,-132.31,-292.31,67.69
2046,10.5,26.296,-15.796,-148.106,-308.106,51.894
2047,10.45,26.472,-16.022,-164.128,-324.128,35.872
2048,10.4,26.648,-16.248,-180.376,-340.376,19.624
2049,10.35,26.824,-16.474,-196.85,-356.85,3.15
2050,10.3,27,-16.7,-213.55,-373.55,-13.55
